No Transaksi	Jenis Transaksi	Tanggal	Nama Pelanggan	Kode Produk	Nama Produk	Jumlah	Harga
224	Penjualan	26-04-2020	Rasyid	Item-05	Mi Goreng Instant	3	2600
225	Penjualan	26-04-2020	Rizki	Item-05	Mi Goreng Instant	3	2600
226	Penjualan	26-04-2020	Wardi	Item-04	Kopi Instant	3	5200
226	Penjualan	26-04-2020	Wardi	Item-05	Mi Goreng Instant	4	2600
227	Penjualan	26-04-2020	Yati	Item-05	Mi Goreng Instant	1	2600
228	Penjualan	26-04-2020	Zaki	Item-04	Kopi Instant	3	5200
228	Penjualan	26-04-2020	Zaki	Item-05	Mi Goreng Instant	1	2600
229	Stok Masuk	27-04-2020	-	Item-02	Bawang Putih 200 gram	45	-
229	Stok Masuk	27-04-2020	-	Item-11	Sabun Cuci Piring	22	-
230	Penjualan	27-04-2020	Bella	Item-06	Sabun Mandi Cair 100 ml	2	10500
231	Penjualan	27-04-2020	Farah	Item-01	Batere AA	2	12000
231	Penjualan	27-04-2020	Farah	Item-02	Bawang Putih 200 gram	1	15000
231	Penjualan	27-04-2020	Farah	Item-03	Gula Pasir Putih 1 kg	3	12500
231	Penjualan	27-04-2020	Farah	Item-04	Kopi Instant	3	5200
231	Penjualan	27-04-2020	Farah	Item-06	Sabun Mandi Cair 100 ml	1	10500
232	Penjualan	27-04-2020	Gunawan	Item-06	Sabun Mandi Cair 100 ml	2	10500
233	Penjualan	27-04-2020	Indah	Item-06	Sabun Mandi Cair 100 ml	2	10500
234	Penjualan	27-04-2020	Komang	Item-01	Batere AA	1	12000
234	Penjualan	27-04-2020	Komang	Item-02	Bawang Putih 200 gram	3	15000
234	Penjualan	27-04-2020	Komang	Item-03	Gula Pasir Putih 1 kg	2	12500
234	Penjualan	27-04-2020	Komang	Item-04	Kopi Instant	1	5200
234	Penjualan	27-04-2020	Komang	Item-06	Sabun Mandi Cair 100 ml	1	10500
235	Stok Masuk	28-04-2020	-	Item-08	Vitamin C	23	-
235	Stok Masuk	28-04-2020	-	Item-09	Roti Tawar	16	-
235	Stok Masuk	28-04-2020	-	Item-14	Teh Celup Melati	28	-
236	Penjualan	28-04-2020	Ardi	Item-03	Gula Pasir Putih 1 kg	2	12500
236	Penjualan	28-04-2020	Ardi	Item-04	Kopi Instant	3	5200
236	Penjualan	28-04-2020	Ardi	Item-06	Sabun Mandi Cair 100 ml	2	10500
237	Penjualan	28-04-2020	Diki	Item-03	Gula Pasir Putih 1 kg	1	12500
237	Penjualan	28-04-2020	Diki	Item-04	Kopi Instant	2	5200
237	Penjualan	28-04-2020	Diki	Item-06	Sabun Mandi Cair 100 ml	2	10500
238	Penjualan	28-04-2020	Hasan	Item-04	Kopi Instant	1	5200
238	Penjualan	28-04-2020	Hasan	Item-06	Sabun Mandi Cair 100 ml	2	10500
239	Penjualan	28-04-2020	Krisda	Item-03	Gula Pasir Putih 1 kg	2	12500
239	Penjualan	28-04-2020	Krisda	Item-04	Kopi Instant	1	5200
239	Penjualan	28-04-2020	Krisda	Item-06	Sabun Mandi Cair 100 ml	1	10500
240	Penjualan	28-04-2020	Nur	Item-02	Bawang Putih 200 gram	4	15000
240	Penjualan	28-04-2020	Nur	Item-03	Gula Pasir Putih 1 kg	3	12500
240	Penjualan	28-04-2020	Nur	Item-04	Kopi Instant	2	5200
240	Penjualan	28-04-2020	Nur	Item-06	Sabun Mandi Cair 100 ml	1	10500
241	Penjualan	28-04-2020	Rian	Item-04	Kopi Instant	3	5200
241	Penjualan	28-04-2020	Rian	Item-06	Sabun Mandi Cair 100 ml	3	10500
242	Penjualan	28-04-2020	Tia	Item-03	Gula Pasir Putih 1 kg	3	12500
242	Penjualan	28-04-2020	Tia	Item-04	Kopi Instant	1	5200
242	Penjualan	28-04-2020	Tia	Item-06	Sabun Mandi Cair 100 ml	1	10500
243	Penjualan	28-04-2020	Wahyu	Item-01	Batere AA	3	12000
243	Penjualan	28-04-2020	Wahyu	Item-02	Bawang Putih 200 gram	2	15000
243	Penjualan	28-04-2020	Wahyu	Item-03	Gula Pasir Putih 1 kg	1	12500
243	Penjualan	28-04-2020	Wahyu	Item-04	Kopi Instant	2	5200
243	Penjualan	28-04-2020	Wahyu	Item-06	Sabun Mandi Cair 100 ml	4	10500
244	Penjualan	28-04-2020	Yudhi	Item-04	Kopi Instant	2	5200
244	Penjualan	28-04-2020	Yudhi	Item-06	Sabun Mandi Cair 100 ml	3	10500
245	Penjualan	28-04-2020	Yuli	Item-01	Batere AA	3	12000
245	Penjualan	28-04-2020	Yuli	Item-02	Bawang Putih 200 gram	3	15000
245	Penjualan	28-04-2020	Yuli	Item-03	Gula Pasir Putih 1 kg	1	12500
245	Penjualan	28-04-2020	Yuli	Item-04	Kopi Instant	1	5200
245	Penjualan	28-04-2020	Yuli	Item-06	Sabun Mandi Cair 100 ml	1	10500
246	Stok Masuk	29-04-2020	-	Item-02	Bawang Putih 200 gram	45	-
246	Stok Masuk	29-04-2020	-	Item-03	Gula Pasir Putih 1 kg	36	-
246	Stok Masuk	29-04-2020	-	Item-05	Mi Goreng Instant	26	-
246	Stok Masuk	29-04-2020	-	Item-07	Sabut Cuci Piring	7	-
247	Penjualan	29-04-2020	Andi	Item-01	Batere AA	2	12000
247	Penjualan	29-04-2020	Andi	Item-02	Bawang Putih 200 gram	2	15000
247	Penjualan	29-04-2020	Andi	Item-03	Gula Pasir Putih 1 kg	3	12500
247	Penjualan	29-04-2020	Andi	Item-04	Kopi Instant	1	5200
247	Penjualan	29-04-2020	Andi	Item-05	Mi Goreng Instant	2	2600
248	Penjualan	29-04-2020	Ayu	Item-05	Mi Goreng Instant	4	2600
249	Penjualan	29-04-2020	Bayu	Item-03	Gula Pasir Putih 1 kg	1	12500
249	Penjualan	29-04-2020	Bayu	Item-04	Kopi Instant	2	5200
249	Penjualan	29-04-2020	Bayu	Item-05	Mi Goreng Instant	1	2600
250	Penjualan	29-04-2020	Erlangga	Item-03	Gula Pasir Putih 1 kg	2	12500
250	Penjualan	29-04-2020	Erlangga	Item-04	Kopi Instant	3	5200
250	Penjualan	29-04-2020	Erlangga	Item-06	Sabun Mandi Cair 100 ml	1	10500
251	Penjualan	29-04-2020	Fajri	Item-04	Kopi Instant	3	5200
251	Penjualan	29-04-2020	Fajri	Item-05	Mi Goreng Instant	2	2600
252	Penjualan	29-04-2020	Farah	Item-04	Kopi Instant	3	5200
252	Penjualan	29-04-2020	Farah	Item-05	Mi Goreng Instant	1	2600
253	Penjualan	29-04-2020	Indah	Item-03	Gula Pasir Putih 1 kg	3	12500
253	Penjualan	29-04-2020	Indah	Item-06	Sabun Mandi Cair 100 ml	3	10500
253	Penjualan	29-04-2020	Indah	Item-07	Sabut Cuci Piring	2	7500
254	Penjualan	29-04-2020	Iqbal	Item-02	Bawang Putih 200 gram	2	15000
254	Penjualan	29-04-2020	Iqbal	Item-03	Gula Pasir Putih 1 kg	3	12500
254	Penjualan	29-04-2020	Iqbal	Item-04	Kopi Instant	2	5200
254	Penjualan	29-04-2020	Iqbal	Item-05	Mi Goreng Instant	2	2600
255	Penjualan	29-04-2020	Putri	Item-06	Sabun Mandi Cair 100 ml	1	10500
255	Penjualan	29-04-2020	Putri	Item-07	Sabut Cuci Piring	1	7500
256	Penjualan	29-04-2020	Tasya	Item-03	Gula Pasir Putih 1 kg	1	12500
256	Penjualan	29-04-2020	Tasya	Item-04	Kopi Instant	2	5200
256	Penjualan	29-04-2020	Tasya	Item-05	Mi Goreng Instant	1	2600
257	Penjualan	29-04-2020	Tika	Item-03	Gula Pasir Putih 1 kg	4	12500
257	Penjualan	29-04-2020	Tika	Item-04	Kopi Instant	3	5200
257	Penjualan	29-04-2020	Tika	Item-06	Sabun Mandi Cair 100 ml	4	10500
258	Penjualan	29-04-2020	Tri	Item-04	Kopi Instant	4	5200
258	Penjualan	29-04-2020	Tri	Item-05	Mi Goreng Instant	3	2600
259	Penjualan	29-04-2020	Ujang	Item-01	Batere AA	1	12000
259	Penjualan	29-04-2020	Ujang	Item-02	Bawang Putih 200 gram	3	15000
259	Penjualan	29-04-2020	Ujang	Item-03	Gula Pasir Putih 1 kg	1	12500
259	Penjualan	29-04-2020	Ujang	Item-04	Kopi Instant	3	5200
259	Penjualan	29-04-2020	Ujang	Item-05	Mi Goreng Instant	1	2600
260	Penjualan	29-04-2020	Wardi	Item-05	Mi Goreng Instant	2	2600
261	Penjualan	29-04-2020	Wulan	Item-02	Bawang Putih 200 gram	2	15000
261	Penjualan	29-04-2020	Wulan	Item-03	Gula Pasir Putih 1 kg	1	12500
261	Penjualan	29-04-2020	Wulan	Item-06	Sabun Mandi Cair 100 ml	1	10500
261	Penjualan	29-04-2020	Wulan	Item-07	Sabut Cuci Piring	1	7500
262	Penjualan	29-04-2020	Yansen	Item-05	Mi Goreng Instant	3	2600
263	Penjualan	29-04-2020	Yati	Item-05	Mi Goreng Instant	4	2600
264	Stok Masuk	30-04-2020	-	Item-09	Roti Tawar	16	-
264	Stok Masuk	30-04-2020	-	Item-10	Biskuit Waver Kaleng	61	-
264	Stok Masuk	30-04-2020	-	Item-13	Pisau Cukur	6	-
264	Stok Masuk	30-04-2020	-	Item-18	Telur Ayam Negeri	72	-
264	Stok Masuk	30-04-2020	-	Item-20	Gunting Kuku	7	-
265	Penjualan	30-04-2020	Agus	Item-01	Batere AA	2	12000
265	Penjualan	30-04-2020	Agus	Item-02	Bawang Putih 200 gram	4	15000
265	Penjualan	30-04-2020	Agus	Item-03	Gula Pasir Putih 1 kg	3	12500
265	Penjualan	30-04-2020	Agus	Item-06	Sabun Mandi Cair 100 ml	4	10500
265	Penjualan	30-04-2020	Agus	Item-07	Sabut Cuci Piring	3	7500
266	Penjualan	30-04-2020	Hadi	Item-01	Batere AA	3	12000
266	Penjualan	30-04-2020	Hadi	Item-02	Bawang Putih 200 gram	3	15000
266	Penjualan	30-04-2020	Hadi	Item-03	Gula Pasir Putih 1 kg	2	12500
266	Penjualan	30-04-2020	Hadi	Item-06	Sabun Mandi Cair 100 ml	4	10500
266	Penjualan	30-04-2020	Hadi	Item-08	Vitamin C	1	2000
267	Penjualan	30-04-2020	Hengky	Item-01	Batere AA	1	12000
267	Penjualan	30-04-2020	Hengky	Item-02	Bawang Putih 200 gram	2	15000
267	Penjualan	30-04-2020	Hengky	Item-03	Gula Pasir Putih 1 kg	1	12500
267	Penjualan	30-04-2020	Hengky	Item-06	Sabun Mandi Cair 100 ml	3	10500
267	Penjualan	30-04-2020	Hengky	Item-08	Vitamin C	2	2000
268	Penjualan	30-04-2020	Kardi	Item-06	Sabun Mandi Cair 100 ml	2	10500
268	Penjualan	30-04-2020	Kardi	Item-08	Vitamin C	2	2000
269	Penjualan	30-04-2020	Lestari	Item-03	Gula Pasir Putih 1 kg	2	12500
269	Penjualan	30-04-2020	Lestari	Item-06	Sabun Mandi Cair 100 ml	2	10500
269	Penjualan	30-04-2020	Lestari	Item-08	Vitamin C	1	2000
270	Penjualan	30-04-2020	Mahmud	Item-03	Gula Pasir Putih 1 kg	3	12500
270	Penjualan	30-04-2020	Mahmud	Item-06	Sabun Mandi Cair 100 ml	2	10500
270	Penjualan	30-04-2020	Mahmud	Item-08	Vitamin C	4	2000
271	Penjualan	30-04-2020	Mita, Mira	Item-08	Vitamin C	1	2000
272	Penjualan	30-04-2020	Murni	Item-03	Gula Pasir Putih 1 kg	2	12500
272	Penjualan	30-04-2020	Murni	Item-06	Sabun Mandi Cair 100 ml	2	10500
272	Penjualan	30-04-2020	Murni	Item-08	Vitamin C	2	2000
273	Penjualan	30-04-2020	Nita	Item-01	Batere AA	2	12000
273	Penjualan	30-04-2020	Nita	Item-02	Bawang Putih 200 gram	3	15000
273	Penjualan	30-04-2020	Nita	Item-03	Gula Pasir Putih 1 kg	3	12500
273	Penjualan	30-04-2020	Nita	Item-06	Sabun Mandi Cair 100 ml	3	10500
273	Penjualan	30-04-2020	Nita	Item-08	Vitamin C	2	2000
274	Penjualan	30-04-2020	Rahmad	Item-08	Vitamin C	1	2000
274	Penjualan	30-04-2020	Rahmad	Item-09	Roti Tawar	3	12500
275	Penjualan	30-04-2020	Siti	Item-01	Batere AA	4	12000
275	Penjualan	30-04-2020	Siti	Item-02	Bawang Putih 200 gram	3	15000
275	Penjualan	30-04-2020	Siti	Item-03	Gula Pasir Putih 1 kg	2	12500
275	Penjualan	30-04-2020	Siti	Item-08	Vitamin C	2	2000
275	Penjualan	30-04-2020	Siti	Item-09	Roti Tawar	1	12500
276	Stok Masuk	01-05-2020	-	Item-02	Bawang Putih 200 gram	54	-
276	Stok Masuk	01-05-2020	-	Item-09	Roti Tawar	14	-
276	Stok Masuk	01-05-2020	-	Item-17	Obat Batuk	44	-
276	Stok Masuk	01-05-2020	-	Item-19	Obat Diare	32	-
277	Penjualan	01-05-2020	Ardi	Item-09	Roti Tawar	4	12500
277	Penjualan	01-05-2020	Ardi	Item-10	Biskuit Waver Kaleng	1	24000
278	Penjualan	01-05-2020	Bagus	Item-03	Gula Pasir Putih 1 kg	4	12500
278	Penjualan	01-05-2020	Bagus	Item-08	Vitamin C	1	2000
278	Penjualan	01-05-2020	Bagus	Item-09	Roti Tawar	1	12500
279	Penjualan	01-05-2020	Farah	Item-02	Bawang Putih 200 gram	2	15000
279	Penjualan	01-05-2020	Farah	Item-09	Roti Tawar	4	12500
279	Penjualan	01-05-2020	Farah	Item-10	Biskuit Waver Kaleng	3	24000
279	Penjualan	01-05-2020	Farah	Item-11	Sabun Cuci Piring	4	14000
280	Penjualan	01-05-2020	Feri	Item-11	Sabun Cuci Piring	3	14000
281	Penjualan	01-05-2020	Komang	Item-08	Vitamin C	1	2000
281	Penjualan	01-05-2020	Komang	Item-09	Roti Tawar	1	12500
282	Penjualan	01-05-2020	Marta	Item-02	Bawang Putih 200 gram	2	15000
282	Penjualan	01-05-2020	Marta	Item-09	Roti Tawar	4	12500
282	Penjualan	01-05-2020	Marta	Item-10	Biskuit Waver Kaleng	4	24000
282	Penjualan	01-05-2020	Marta	Item-11	Sabun Cuci Piring	4	14000
283	Penjualan	01-05-2020	Nur	Item-10	Biskuit Waver Kaleng	4	24000
283	Penjualan	01-05-2020	Nur	Item-11	Sabun Cuci Piring	1	14000
284	Penjualan	01-05-2020	Randi	Item-01	Batere AA	3	12000
284	Penjualan	01-05-2020	Randi	Item-02	Bawang Putih 200 gram	3	15000
284	Penjualan	01-05-2020	Randi	Item-03	Gula Pasir Putih 1 kg	4	12500
284	Penjualan	01-05-2020	Randi	Item-08	Vitamin C	3	2000
284	Penjualan	01-05-2020	Randi	Item-09	Roti Tawar	2	12500
285	Penjualan	01-05-2020	Sri	Item-03	Gula Pasir Putih 1 kg	1	12500
285	Penjualan	01-05-2020	Sri	Item-09	Roti Tawar	1	12500
285	Penjualan	01-05-2020	Sri	Item-10	Biskuit Waver Kaleng	4	24000
286	Penjualan	01-05-2020	Zahra	Item-01	Batere AA	3	12000
286	Penjualan	01-05-2020	Zahra	Item-02	Bawang Putih 200 gram	3	15000
286	Penjualan	01-05-2020	Zahra	Item-03	Gula Pasir Putih 1 kg	1	12500
286	Penjualan	01-05-2020	Zahra	Item-09	Roti Tawar	3	12500
286	Penjualan	01-05-2020	Zahra	Item-10	Biskuit Waver Kaleng	3	24000
287	Stok Masuk	02-05-2020	-	Item-06	Sabun Mandi Cair 100 ml	65	-
287	Stok Masuk	02-05-2020	-	Item-12	Beras Pulen 5 kg	24	-
288	Penjualan	02-05-2020	Anggun	Item-02	Bawang Putih 200 gram	1	15000
288	Penjualan	02-05-2020	Anggun	Item-06	Sabun Mandi Cair 100 ml	4	10500
288	Penjualan	02-05-2020	Anggun	Item-09	Roti Tawar	1	12500
288	Penjualan	02-05-2020	Anggun	Item-10	Biskuit Waver Kaleng	1	24000
289	Penjualan	02-05-2020	Bella	Item-09	Roti Tawar	3	12500
289	Penjualan	02-05-2020	Bella	Item-10	Biskuit Waver Kaleng	4	24000
290	Penjualan	02-05-2020	Jaya	Item-02	Bawang Putih 200 gram	2	15000
290	Penjualan	02-05-2020	Jaya	Item-06	Sabun Mandi Cair 100 ml	3	10500
290	Penjualan	02-05-2020	Jaya	Item-09	Roti Tawar	3	12500
290	Penjualan	02-05-2020	Jaya	Item-10	Biskuit Waver Kaleng	4	24000
291	Penjualan	02-05-2020	Krisda	Item-09	Roti Tawar	1	12500
291	Penjualan	02-05-2020	Krisda	Item-10	Biskuit Waver Kaleng	2	24000
292	Penjualan	02-05-2020	Kurnia	Item-02	Bawang Putih 200 gram	3	15000
292	Penjualan	02-05-2020	Kurnia	Item-06	Sabun Mandi Cair 100 ml	4	10500
292	Penjualan	02-05-2020	Kurnia	Item-09	Roti Tawar	4	12500
292	Penjualan	02-05-2020	Kurnia	Item-10	Biskuit Waver Kaleng	2	24000
293	Penjualan	02-05-2020	Rahma	Item-06	Sabun Mandi Cair 100 ml	2	10500
293	Penjualan	02-05-2020	Rahma	Item-09	Roti Tawar	1	12500
293	Penjualan	02-05-2020	Rahma	Item-10	Biskuit Waver Kaleng	2	24000
294	Penjualan	02-05-2020	Rasyid	Item-09	Roti Tawar	4	12500
294	Penjualan	02-05-2020	Rasyid	Item-10	Biskuit Waver Kaleng	1	24000
295	Penjualan	02-05-2020	Siti	Item-02	Bawang Putih 200 gram	4	15000
295	Penjualan	02-05-2020	Siti	Item-06	Sabun Mandi Cair 100 ml	2	10500
295	Penjualan	02-05-2020	Siti	Item-09	Roti Tawar	4	12500
295	Penjualan	02-05-2020	Siti	Item-10	Biskuit Waver Kaleng	1	24000
296	Penjualan	02-05-2020	Yati	Item-09	Roti Tawar	4	12500
296	Penjualan	02-05-2020	Yati	Item-10	Biskuit Waver Kaleng	4	24000
297	Penjualan	02-05-2020	Yudhi	Item-09	Roti Tawar	2	12500
297	Penjualan	02-05-2020	Yudhi	Item-10	Biskuit Waver Kaleng	3	24000
298	Stok Masuk	03-05-2020	-	Item-02	Bawang Putih 200 gram	50	-
298	Stok Masuk	03-05-2020	-	Item-04	Kopi Instant	66	-
298	Stok Masuk	03-05-2020	-	Item-09	Roti Tawar	10	-
298	Stok Masuk	03-05-2020	-	Item-11	Sabun Cuci Piring	18	-
298	Stok Masuk	03-05-2020	-	Item-16	Balsem Putih 20 gram	7	-
298	Stok Masuk	03-05-2020	-	Item-18	Telur Ayam Negeri	56	-
299	Penjualan	03-05-2020	Ayu	Item-04	Kopi Instant	4	5200
299	Penjualan	03-05-2020	Ayu	Item-06	Sabun Mandi Cair 100 ml	1	10500
299	Penjualan	03-05-2020	Ayu	Item-09	Roti Tawar	1	12500
300	Penjualan	03-05-2020	Diki	Item-04	Kopi Instant	2	5200
300	Penjualan	03-05-2020	Diki	Item-06	Sabun Mandi Cair 100 ml	3	10500
300	Penjualan	03-05-2020	Diki	Item-09	Roti Tawar	2	12500
301	Penjualan	03-05-2020	Marta	Item-06	Sabun Mandi Cair 100 ml	2	10500
301	Penjualan	03-05-2020	Marta	Item-09	Roti Tawar	4	12500
302	Penjualan	03-05-2020	Mita, Mira	Item-01	Batere AA	3	12000
302	Penjualan	03-05-2020	Mita, Mira	Item-02	Bawang Putih 200 gram	3	15000
302	Penjualan	03-05-2020	Mita, Mira	Item-04	Kopi Instant	3	5200
302	Penjualan	03-05-2020	Mita, Mira	Item-06	Sabun Mandi Cair 100 ml	2	10500
302	Penjualan	03-05-2020	Mita, Mira	Item-09	Roti Tawar	1	12500
303	Penjualan	03-05-2020	Putra	Item-04	Kopi Instant	3	5200
303	Penjualan	03-05-2020	Putra	Item-06	Sabun Mandi Cair 100 ml	4	10500
303	Penjualan	03-05-2020	Putra	Item-09	Roti Tawar	1	12500
304	Penjualan	03-05-2020	Rita	Item-04	Kopi Instant	2	5200
304	Penjualan	03-05-2020	Rita	Item-06	Sabun Mandi Cair 100 ml	1	10500
304	Penjualan	03-05-2020	Rita	Item-09	Roti Tawar	4	12500
305	Penjualan	03-05-2020	Ujang	Item-01	Batere AA	2	12000
305	Penjualan	03-05-2020	Ujang	Item-02	Bawang Putih 200 gram	4	15000
305	Penjualan	03-05-2020	Ujang	Item-04	Kopi Instant	2	5200
305	Penjualan	03-05-2020	Ujang	Item-06	Sabun Mandi Cair 100 ml	1	10500
305	Penjualan	03-05-2020	Ujang	Item-09	Roti Tawar	2	12500
306	Penjualan	03-05-2020	Wahyu	Item-02	Bawang Putih 200 gram	4	15000
306	Penjualan	03-05-2020	Wahyu	Item-04	Kopi Instant	4	5200
306	Penjualan	03-05-2020	Wahyu	Item-06	Sabun Mandi Cair 100 ml	4	10500
306	Penjualan	03-05-2020	Wahyu	Item-09	Roti Tawar	3	12500
307	Penjualan	03-05-2020	Wulan	Item-04	Kopi Instant	1	5200
307	Penjualan	03-05-2020	Wulan	Item-06	Sabun Mandi Cair 100 ml	2	10500
307	Penjualan	03-05-2020	Wulan	Item-09	Roti Tawar	1	12500
308	Penjualan	03-05-2020	Zaki	Item-04	Kopi Instant	4	5200
308	Penjualan	03-05-2020	Zaki	Item-06	Sabun Mandi Cair 100 ml	3	10500
308	Penjualan	03-05-2020	Zaki	Item-09	Roti Tawar	1	12500
309	Stok Masuk	04-05-2020	-	Item-03	Gula Pasir Putih 1 kg	40	-
309	Stok Masuk	04-05-2020	-	Item-05	Mi Goreng Instant	32	-
309	Stok Masuk	04-05-2020	-	Item-08	Vitamin C	26	-
310	Penjualan	04-05-2020	Komang	Item-02	Bawang Putih 200 gram	2	15000
310	Penjualan	04-05-2020	Komang	Item-03	Gula Pasir Putih 1 kg	3	12500
310	Penjualan	04-05-2020	Komang	Item-04	Kopi Instant	3	5200
310	Penjualan	04-05-2020	Komang	Item-05	Mi Goreng Instant	2	2600
311	Penjualan	04-05-2020	Putri	Item-02	Bawang Putih 200 gram	1	15000
311	Penjualan	04-05-2020	Putri	Item-03	Gula Pasir Putih 1 kg	1	12500
311	Penjualan	04-05-2020	Putri	Item-04	Kopi Instant	2	5200
311	Penjualan	04-05-2020	Putri	Item-05	Mi Goreng Instant	4	2600
312	Penjualan	04-05-2020	Tia	Item-02	Bawang Putih 200 gram	4	15000
312	Penjualan	04-05-2020	Tia	Item-03	Gula Pasir Putih 1 kg	1	12500
312	Penjualan	04-05-2020	Tia	Item-04	Kopi Instant	2	5200
312	Penjualan	04-05-2020	Tia	Item-05	Mi Goreng Instant	2	2600
313	Penjualan	04-05-2020	Tri	Item-03	Gula Pasir Putih 1 kg	3	12500
313	Penjualan	04-05-2020	Tri	Item-04	Kopi Instant	4	5200
313	Penjualan	04-05-2020	Tri	Item-05	Mi Goreng Instant	3	2600
314	Stok Masuk	05-05-2020	-	Item-01	Batere AA	63	-
314	Stok Masuk	05-05-2020	-	Item-02	Bawang Putih 200 gram	52	-
314	Stok Masuk	05-05-2020	-	Item-09	Roti Tawar	17	-
314	Stok Masuk	05-05-2020	-	Item-14	Teh Celup Melati	34	-
314	Stok Masuk	05-05-2020	-	Item-15	Ketan Hitam 500 gram	26	-
314	Stok Masuk	05-05-2020	-	Item-18	Telur Ayam Negeri	71	-
315	Penjualan	05-05-2020	Agus	Item-02	Bawang Putih 200 gram	4	15000
315	Penjualan	05-05-2020	Agus	Item-03	Gula Pasir Putih 1 kg	3	12500
315	Penjualan	05-05-2020	Agus	Item-04	Kopi Instant	1	5200
315	Penjualan	05-05-2020	Agus	Item-05	Mi Goreng Instant	4	2600
316	Penjualan	05-05-2020	Bayu	Item-05	Mi Goreng Instant	1	2600
317	Penjualan	05-05-2020	Fajri	Item-01	Batere AA	1	12000
317	Penjualan	05-05-2020	Fajri	Item-02	Bawang Putih 200 gram	1	15000
317	Penjualan	05-05-2020	Fajri	Item-03	Gula Pasir Putih 1 kg	3	12500
317	Penjualan	05-05-2020	Fajri	Item-04	Kopi Instant	1	5200
317	Penjualan	05-05-2020	Fajri	Item-05	Mi Goreng Instant	4	2600
318	Penjualan	05-05-2020	Farah	Item-04	Kopi Instant	4	5200
318	Penjualan	05-05-2020	Farah	Item-05	Mi Goreng Instant	1	2600
319	Penjualan	05-05-2020	Hasan	Item-02	Bawang Putih 200 gram	2	15000
319	Penjualan	05-05-2020	Hasan	Item-03	Gula Pasir Putih 1 kg	3	12500
319	Penjualan	05-05-2020	Hasan	Item-04	Kopi Instant	3	5200
319	Penjualan	05-05-2020	Hasan	Item-05	Mi Goreng Instant	2	2600
320	Penjualan	05-05-2020	Indah	Item-01	Batere AA	2	12000
320	Penjualan	05-05-2020	Indah	Item-02	Bawang Putih 200 gram	4	15000
320	Penjualan	05-05-2020	Indah	Item-03	Gula Pasir Putih 1 kg	2	12500
320	Penjualan	05-05-2020	Indah	Item-04	Kopi Instant	1	5200
320	Penjualan	05-05-2020	Indah	Item-05	Mi Goreng Instant	2	2600
321	Penjualan	05-05-2020	Nita	Item-04	Kopi Instant	2	5200
321	Penjualan	05-05-2020	Nita	Item-05	Mi Goreng Instant	2	2600
322	Penjualan	05-05-2020	Rahmad	Item-03	Gula Pasir Putih 1 kg	3	12500
322	Penjualan	05-05-2020	Rahmad	Item-04	Kopi Instant	3	5200
322	Penjualan	05-05-2020	Rahmad	Item-05	Mi Goreng Instant	1	2600
323	Penjualan	05-05-2020	Zahra	Item-01	Batere AA	3	12000
323	Penjualan	05-05-2020	Zahra	Item-02	Bawang Putih 200 gram	4	15000
323	Penjualan	05-05-2020	Zahra	Item-03	Gula Pasir Putih 1 kg	4	12500
323	Penjualan	05-05-2020	Zahra	Item-04	Kopi Instant	2	5200
323	Penjualan	05-05-2020	Zahra	Item-05	Mi Goreng Instant	1	2600
324	Stok Masuk	06-05-2020	-	Item-03	Gula Pasir Putih 1 kg	39	-
324	Stok Masuk	06-05-2020	-	Item-05	Mi Goreng Instant	55	-
324	Stok Masuk	06-05-2020	-	Item-09	Roti Tawar	12	-
325	Penjualan	06-05-2020	Bagus	Item-04	Kopi Instant	1	5200
325	Penjualan	06-05-2020	Bagus	Item-05	Mi Goreng Instant	4	2600
326	Penjualan	06-05-2020	Hengky	Item-01	Batere AA	1	12000
326	Penjualan	06-05-2020	Hengky	Item-02	Bawang Putih 200 gram	3	15000
326	Penjualan	06-05-2020	Hengky	Item-03	Gula Pasir Putih 1 kg	3	12500
326	Penjualan	06-05-2020	Hengky	Item-04	Kopi Instant	4	5200
326	Penjualan	06-05-2020	Hengky	Item-05	Mi Goreng Instant	1	2600
327	Penjualan	06-05-2020	Iqbal	Item-01	Batere AA	2	12000
327	Penjualan	06-05-2020	Iqbal	Item-02	Bawang Putih 200 gram	4	15000
327	Penjualan	06-05-2020	Iqbal	Item-03	Gula Pasir Putih 1 kg	2	12500
327	Penjualan	06-05-2020	Iqbal	Item-04	Kopi Instant	1	5200
327	Penjualan	06-05-2020	Iqbal	Item-05	Mi Goreng Instant	2	2600
328	Penjualan	06-05-2020	Krisda	Item-02	Bawang Putih 200 gram	2	15000
328	Penjualan	06-05-2020	Krisda	Item-03	Gula Pasir Putih 1 kg	2	12500
328	Penjualan	06-05-2020	Krisda	Item-04	Kopi Instant	2	5200
328	Penjualan	06-05-2020	Krisda	Item-05	Mi Goreng Instant	1	2600
329	Penjualan	06-05-2020	Mahmud	Item-01	Batere AA	4	12000
329	Penjualan	06-05-2020	Mahmud	Item-02	Bawang Putih 200 gram	2	15000
329	Penjualan	06-05-2020	Mahmud	Item-03	Gula Pasir Putih 1 kg	4	12500
329	Penjualan	06-05-2020	Mahmud	Item-04	Kopi Instant	1	5200
329	Penjualan	06-05-2020	Mahmud	Item-05	Mi Goreng Instant	1	2600
330	Penjualan	06-05-2020	Sri	Item-02	Bawang Putih 200 gram	3	15000
330	Penjualan	06-05-2020	Sri	Item-03	Gula Pasir Putih 1 kg	3	12500
330	Penjualan	06-05-2020	Sri	Item-04	Kopi Instant	1	5200
